"filename", "language", "PHP", "JavaScript", "Markdown", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_09_29_050210_create_permission_tables.php", "PHP", 105, 0, 0, 0, 0, 0, 8, 24, 137
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_06_052732_crear_tabla_tutores.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_06_065144_crear_tabla_pacientes.php", "PHP", 29, 0, 0, 0, 0, 0, 6, 3, 38
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_08_055643_create_seguimientos_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_20_013001_create_oms_ref_table.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_20_013002_create_frisancho_ref_table.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 13, 49
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_20_013003_create_medidas_table.php", "PHP", 28, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_20_013004_create_evaluaciones_table.php", "PHP", 44, 0, 0, 0, 0, 0, 3, 16, 63
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_24_074402_create_requerimientos_nutricionales_table.php", "PHP", 36, 0, 0, 0, 0, 0, 5, 11, 52
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\migrations\2025_10_24_094008_create_molecula_calorica_table.php", "PHP", 43, 0, 0, 0, 0, 0, 4, 13, 60
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\seeders\DatabaseSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 4, 6, 21
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\database\seeders\UserSeeder.php", "PHP", 30, 0, 0, 0, 0, 0, 3, 7, 40
